Samples	1	2	3	4	5	6	7	8	9	10-11	12-13	14-15	16-17	18-19	20-21	22-23	24-25	26-27	28-29	30-31	32-33	34-35	36-37	38-39	40-41	42-43	44-45	46-47	48-49	50-51	52-53	54-55	56-57	58-59	60-61	62-63	64-65	66-67	68-69	70-71	72-73	74-75	76-77	78-79	80-81	82-83	84-85	86-87	88-89	90-91	92-93	94-95	96-97	98-99	100-101	102-103	104-105	106-107	108-109	110-111	112-113	114-115	116-117	118-119	120-121	122-123	124-125	126
s.109.Healthy.greaterthan5.Oral.Swab.1.820.119_R1	29.417672983563772	31.67216556051473	32.28467247890808	32.59353057619114	32.5488944243569	36.66552932686886	37.038448865134896	37.308385872443026	37.38331616871184	37.426444229444094	37.41554559879443	37.437962323260344	37.44858291868173	37.453499582692906	37.44518508072344	37.44238794801753	37.436777184681155	37.41642400027662	37.39717951030092	37.387285784054825	37.38032337740086	37.37311050739254	37.35856863534822	37.34887362701139	37.33585598905054	37.32794649480991	37.31195430414205	37.292526299102704	37.27082344999277	37.246390178257435	37.218827281724316	37.18311765460183	37.155596942116354	37.12934405717387	37.091441191519955	37.08126416220104	37.063176104915335	37.05410507656767	37.03624097097964	37.013102568499605	37.00076498500239	36.97420977678118	36.96650447163515	36.94817608613498	36.93166567892315	36.92176480080779	36.8983746050439	36.86496713319938	36.82421954620054	36.79860569900247	36.78483550244841	36.74783859708321	36.72675928400157	36.62447528308895	36.63111276134603	36.637013540177676	36.597511677494715	36.58732642237217	36.58395776523544	36.535869013494136	36.551612750810214	36.532280915112246	36.51909545831107	36.506200435913954	36.45128198436535	36.36782781375057	36.388207357172796	34.09691749174553
s.109.Healthy.greaterthan5.Oral.Swab.1.820.119_R2	32.83893946369089	32.91259422179403	32.97661972894136	32.943331437202005	32.94655440846014	37.215180508764355	37.1219013564232	37.178269453595526	37.194668616585744	37.19250360298852	37.189995466460736	37.19396395180888	37.19298503728643	37.19699753593328	37.20010010624212	37.19779723327545	37.194172153356575	37.19124162476081	37.189275433754155	37.18844759954068	37.18146784746607	37.17522479552178	37.17184999868519	37.16811641198224	37.16725524883943	37.16685551167762	37.149271317307495	37.150823403288726	37.13954962911584	37.13140951313135	37.12671424327304	37.081969746196606	37.08733113804768	37.09817379526272	37.0979170044893	37.01383342763389	37.06128720057917	37.068336658642814	37.066275660780896	37.04777152863177	37.0381571849686	37.02770342930978	37.03582786753281	37.03315588794496	37.020538549528936	37.016967407356574	37.002095231405605	36.90490424146724	36.94459227013651	36.955645487646066	36.95458310615298	36.927868632315906	36.903114012872656	36.88674235149101	36.87420966685711	36.852830597101594	36.81581787066886	36.79445306354313	36.7123854096025	36.721462449059686	36.72589086036128	36.678993847586774	36.6757659617406	36.649652544973286	36.59910890219942	36.5943166121511	36.62079810324864	34.35272819872779
MRSABB_00146.142_R1	31.1891809983432	32.16463494497573	32.61469149411133	32.899618831101165	33.1850394792317	37.07082934589428	37.22144220850426	37.254624074922106	37.34584265860288	37.33210977511322	37.38083428856599	37.36034323365453	37.33869060309199	37.35801864830835	37.36149763908554	37.36760379849578	37.37492459318561	37.355404386071406	37.336454928474666	37.340083059829276	37.34440813657453	37.340523311341464	37.32351890477327	37.32076901513299	37.322386071388614	37.32692909536753	37.31755748885227	37.30801888697541	37.29066131940085	37.26742549881314	37.240881922876746	37.214513542280976	37.19371576473385	37.17166030505759	37.14663076942621	37.136302708003136	37.12346356362519	37.11510487890647	37.099535177971994	37.08659145349415	37.07633944718072	37.04786635853418	37.05064915409505	37.028146156498146	37.02431978464972	37.00632307380435	36.98739028950139	36.95831499942082	36.92185707101572	36.89851716964159	36.87686572332626	36.846787247101844	36.82256712890593	36.71776167193178	36.74105201759449	36.74478976682999	36.70219498027085	36.690690781094816	36.684221644728346	36.641103455772736	36.64572348615102	36.62064850471515	36.61179124365687	36.591535108110655	36.53705571343407	36.443533825193136	36.43663877735143	33.77244902073373
MRSABB_00146.142_R2	32.75770774756619	32.876531678510275	32.93373665024527	32.91084165955221	32.908516596191376	37.18476509881041	37.11127703531478	37.163701860337504	37.19397452946626	37.187084904009865	37.190158538345855	37.18128754207724	37.17641896265079	37.17636446897828	37.17631714552583	37.179000719890105	37.17822346803469	37.17291224702269	37.17687594467649	37.17978275189222	37.17606092966206	37.174622105501655	37.175052711831505	37.18165504142843	37.18531375350729	37.186363255424936	37.17389107679273	37.18077471828579	37.1734697939646	37.16422631607087	37.164208436699134	37.12592883694364	37.13193047799396	37.14886213685232	37.15233512346038	37.07137397922959	37.121291054886704	37.12727302364533	37.126891855246846	37.11466544642108	37.10612427385413	37.09644458009338	37.106190702205225	37.1064347392129	37.09862367416905	37.08683243074324	37.07590917802745	36.98590740368685	37.02462304451572	37.04771338915374	37.04284206309049	37.0166889259669	37.00019181569245	36.98179181556148	36.97729067420971	36.9583706189251	36.92901844134509	36.90248608761437	36.824529991997046	36.84419548466728	36.83971286975279	36.79938773078084	36.79727954343776	36.7680801095349	36.732083920510824	36.72073742026205	36.714230057898725	34.20600734150231
s.723767.93_R1	29.20968577760301	29.21374686877107	31.256875438843693	32.1541446004319	32.656847376429575	36.62616619669984	36.7606520738183	37.084641487921076	37.23733226664717	37.236597691689575	37.280474101516376	37.286901190235454	37.27878578768426	37.285242353729096	37.28891139646473	37.29338340155369	37.29039248469685	37.27491025628176	37.25947754977393	37.25328819568699	37.24659802183562	37.24645815192496	37.23734364670961	37.2297620172619	37.22385133771607	37.21831029990998	37.20991296035285	37.196655005109314	37.17986053847906	37.166128448818796	37.14057684101275	37.11000633733151	37.087594788318185	37.06557170200731	37.039726384660675	37.02708282168925	37.0230624142412	37.01383125653725	36.997033017599826	36.98308747009257	36.96969495005728	36.94362706252619	36.94469173518559	36.92623699610049	36.91555522034835	36.90039240100176	36.87784933244932	36.84583745831151	36.80399317209263	36.788363573074044	36.772181697168214	36.73364536103588	36.71856175754982	36.59762177064551	36.614160369517954	36.620415527723274	36.577765548132284	36.56603757136857	36.564621953587796	36.525798885811426	36.536881468308025	36.51295284905628	36.504837707972506	36.49466665152409	36.45416192796712	36.36083379143463	36.40787284376098	34.836934519926714
s.723767.93_R2	32.33350528440019	32.495928002221405	32.54495616426888	32.50048313336898	32.48280115952009	36.62600318708846	36.59075125322849	36.64337240651119	36.71446022005413	36.693758883729046	36.700370647893926	36.696816566728714	36.67157380621253	36.67353154280197	36.67760118239449	36.68012635750455	36.6796865558044	36.67644110223975	36.67852116973103	36.69157564559765	36.68716893278521	36.68165799935032	36.67771426664395	36.680869881982595	36.690494174272494	36.69127614896914	36.66677997126954	36.673891454516976	36.66025238617447	36.653684496017476	36.64698213943357	36.61204727054365	36.613655731309656	36.620974616315635	36.62519915776344	36.539293304382255	36.58861862486176	36.59151511446085	36.582877940664865	36.569802073546036	36.551147878065656	36.53250192576173	36.544025065216154	36.536995707170895	36.52318372653639	36.51429155524994	36.49005626711437	36.37919485366018	36.41444326834521	36.43324964784935	36.42965483297887	36.39427717141939	36.361696339987795	36.33838285988946	36.32634514850423	36.28856526579313	36.23884714072055	36.21196230649557	36.11663393042845	36.12776214041559	36.126888480285494	36.05740022126738	36.05787548311164	36.013762090201666	35.97246495120332	35.96172423904581	36.05180872099493	34.4636266128269
s.109.Healthy.greaterthan5.Oral.Swab.3.1064.40_R1	26.37503182003531	31.20357604163475	31.85593228578634	32.593986366882646	32.94244934132527	36.756785917159476	37.130640690518334	37.238538010799964	37.345099184228566	37.35137657008303	37.36443655850997	37.377773941041006	37.36667221062035	37.371720326638545	37.36543174484574	37.36017679859803	37.356425128046176	37.33511446963072	37.314992495775	37.30665432068939	37.30093791027221	37.29515130426789	37.27974877181117	37.2704060947209	37.259033539278676	37.25729915986993	37.24122999863015	37.216358781133096	37.190341984062044	37.159781480685524	37.12451855327962	37.08286267027275	37.05204806930488	37.02176779816337	36.98149687337077	36.96958017129363	36.94946979300619	36.93824929028168	36.918929000736426	36.89109264897732	36.87691969639017	36.84908486140804	36.8431792865465	36.82509148032405	36.80698555872708	36.794406067865616	36.77332802488181	36.735871135330726	36.693387167801156	36.66471817304118	36.64993799308	36.61004271844702	36.593318392480136	36.48057110745326	36.48536499295075	36.49044043297	36.44628865271365	36.435711776119376	36.43396274488492	36.38272128556808	36.398812142359574	36.378653673867895	36.367882097987064	36.35380761656678	36.292105440299814	36.193789586563604	36.218908517607105	33.91956751569547
s.109.Healthy.greaterthan5.Oral.Swab.3.1064.40_R2	32.77040282986181	32.85586540478621	32.921815374262536	32.89385484407004	32.89152623620837	37.12332031461765	37.02951868071776	37.0871032218375	37.11195363820856	37.11059318438414	37.10823003116006	37.11240898880642	37.10781718093344	37.11449983029314	37.11663000487907	37.116060706145504	37.111900752131355	37.11032868034064	37.10807741284256	37.1102374187116	37.10430150897679	37.094996284716245	37.091482549830985	37.08827916085917	37.08740649009343	37.08641206329796	37.06792255045972	37.070759127032005	37.05901342471221	37.04779099731377	37.04172125326145	37.000408903499654	37.00390727438943	37.016375817390475	37.0105778009226	36.93101019586542	36.97495214614507	36.98003286526668	36.97661645649764	36.9568431871141	36.941451165549594	36.927227310220935	36.93995611341917	36.93288270980828	36.921917348096564	36.91668819102998	36.89796340739916	36.799924567775825	36.83631923967189	36.85169361765135	36.845263800654934	36.814755402796685	36.78915668279896	36.76757224371461	36.75813505754113	36.731084222748215	36.69051212781915	36.6672744660733	36.581960220520116	36.59090471730101	36.59028029774023	36.53739126914734	36.53311300135178	36.50007196037807	36.44633582076256	36.442379198296216	36.46965179269878	34.15400469935048
NRH.2.10_R1	27.664900753004122	30.654379747237677	31.828879490543013	31.841239562159327	32.403384000325715	35.96282942068433	36.65233413403533	36.5638563979532	36.85900660653624	37.03372332386327	37.07259543629653	37.04887128822988	37.06156402024561	37.09021005269936	37.125878695137104	37.131435613331426	37.1454579939287	37.127415884087206	37.11245758579908	37.105845587979736	37.10627804649897	37.10016007419816	37.0843993093926	37.0780005916655	37.06971407312044	37.058116815060636	37.03839933469311	37.011608887758634	36.97120786700718	36.928109547982814	36.88255146287956	36.8300577419756	36.78937522825272	36.75070550921025	36.705772009634735	36.68473528180145	36.66742329114592	36.653305340087115	36.623945569848026	36.592396345785524	36.57465860796452	36.53951616753108	36.53436517570356	36.50258179371322	36.49531776058079	36.482001443499705	36.45232856956842	36.408431732093376	36.36158313981575	36.32663019064375	36.30956394957653	36.26358633328919	36.25814747276546	36.13047811357603	36.126283775137416	36.135496635924795	36.081113311966476	36.06741781413882	36.057227904096386	36.003928762290386	36.017701972102024	36.002404680656326	35.989948180660036	35.967300462523994	35.915163987153356	35.81221684448462	35.84418891412979	33.54337369856851
NRH.2.10_R2	32.22304730828086	32.39962940638489	32.498084968417125	32.47574905688294	32.457959173135336	36.54039738518996	36.49063337547032	36.55899459104121	36.630688368702906	36.620745794825	36.63890309453613	36.66149867978507	36.641809156204424	36.65292249608504	36.65564882183602	36.66568523573706	36.66932513631629	36.661870564321134	36.66255326290201	36.66137107721396	36.654219871642745	36.647157044505995	36.64373055849393	36.63439815427944	36.63495077823076	36.637191357679406	36.61228163575464	36.60622455588068	36.60073477982074	36.58448355322448	36.5795135607784	36.534449256645786	36.52949574417969	36.5375865186894	36.52958169977174	36.45257380176623	36.490158758764295	36.49371477869411	36.492194374253565	36.461795366283724	36.440112149394466	36.426061464035456	36.442025823470956	36.42790862539484	36.42160763206708	36.41198414855153	36.391964434975094	36.28433404951689	36.318356266162304	36.32775577543994	36.31804068591279	36.2806542097494	36.25776019231821	36.23005180542012	36.214771999406544	36.18446896473918	36.13648465957625	36.114166705333254	36.03352778539647	36.04210425753713	36.03596819589423	35.96903375789513	35.96728023421531	35.92524061378201	35.86829246219776	35.86622636531329	35.90794718137181	33.697138553881324
