# Constructed from biom file
#OTU ID	NMG.2.14-taxa	s.245.Healthy.lessthan5.Oral.Swab.1.1897.20-taxa	s.718235.1-taxa	NRH.1.57-taxa	s.718742.124-taxa	s.256.Healthy.lessthan5.Oral.Swab.2.2151.24-taxa	NRO.2.97-taxa	s.245.Healthy.lessthan5.Oral.Swab.3.2132.136-taxa	Myco330-taxa	s.721944.6-taxa	EBneg3.86-taxa	s.718742.82-taxa	s.245.Healthy.lessthan5.Oral.Swab.3.2132.106-taxa	NS.1.15-taxa	s.718978.115-taxa	NRH.2.95-taxa	s.109.Healthy.greaterthan5.Oral.Swab.1.820.102-taxa	s.109.Healthy.greaterthan5.Oral.Swab.1.820.17-taxa	s.256.Healthy.lessthan5.Oral.Swab.2.2151.108-taxa	MRSABB_00130.25-taxa	s.718235.49-taxa	MRSABB_00146.142-taxa	s.245.Healthy.lessthan5.Oral.Swab.2.2134.69-taxa	NMG.2.62-taxa	s.718235.123-taxa	Vibriolambda3.138-taxa	s.109.Healthy.greaterthan5.Oral.Swab.3.1064.67-taxa	s.718978.51-taxa	NRH.2.128-taxa	NRH.2.58-taxa	EBneg5.114-taxa	s.245.Healthy.lessthan5.Oral.Swab.3.2132.70-taxa	s.109.Healthy.greaterthan5.Oral.Swab.1.820.119-taxa	NS.2.101-taxa	Vibriolambda3.113-taxa	s.718978.3-taxa	s.256.Healthy.lessthan5.Oral.Swab.2.2151.72-taxa	s.109.Healthy.greaterthan5.Oral.Swab.2.1058.120-taxa	s.719837.89-taxa	s.723767.93-taxa	MD.blood.agar.control.2.145-taxa	NS.2.16-taxa	s.109.Healthy.greaterthan5.Oral.Swab.1.820.65-taxa	NS.1.133-taxa	s.109.Healthy.greaterthan5.Oral.Swab.3.1064.19-taxa	NMG.2.99-taxa	s.720699.53-taxa	EBneg5.139-taxa	s.256.Healthy.lessthan5.Oral.Swab.1.2005.71-taxa	MRSABB_00146.27-taxa	s.718235.87-taxa	NRO.2.60-taxa	s.718978.88-taxa	s.245.Healthy.lessthan5.Oral.Swab.1.1897.135-taxa	NS.1.100-taxa	s.109.Healthy.greaterthan5.Oral.Swab.3.1064.85-taxa	s.109.Healthy.greaterthan5.Oral.Swab.3.1064.40-taxa	Vibriolambda1.73-taxa	MD.blood.agar.control.1.111-taxa	Vibriolambda2.109-taxa	s.256.Healthy.lessthan5.Oral.Swab.2.2151.122-taxa	s.256.Healthy.lessthan5.Oral.Swab.1.2005.23-taxa	s.723767.126-taxa	NRO.1.96-taxa	EBneg1.74-taxa	Myco88-taxa	NRH.1.9-taxa	s.720699.90-taxa	s.109.Healthy.greaterthan5.Oral.Swab.2.1058.103-taxa	MD.blood.agar.control.2.112-taxa	NRO.2.12-taxa	s.721944.118-taxa	s.721944.54-taxa	NMG.1.98-taxa	s.245.Healthy.lessthan5.Oral.Swab.2.2134.105-taxa	s.720699.5-taxa	NMG.1.131-taxa	s.256.Healthy.lessthan5.Oral.Swab.1.2005.107-taxa	s.719837.52-taxa	s.723702.7-taxa	MRSABB_00131.141-taxa	NS.2.134-taxa	NS.1.63-taxa	s.723767.8-taxa	MRSABB_00131.26-taxa	NS.2.64-taxa	NRO.1.59-taxa	s.720699.117-taxa	NRO.2.130-taxa	s.109.Healthy.greaterthan5.Oral.Swab.2.1058.18-taxa	s.719837.4-taxa	s.245.Healthy.lessthan5.Oral.Swab.3.2132.22-taxa	MD.blood.agar.control.1.144-taxa	s.109.Healthy.greaterthan5.Oral.Swab.2.1058.66-taxa	s.723767.56-taxa	s.245.Healthy.lessthan5.Oral.Swab.2.2134.21-taxa	s.723702.125-taxa	s.245.Healthy.lessthan5.Oral.Swab.1.1897.68-taxa	NRO.1.11-taxa	s.245.Healthy.lessthan5.Oral.Swab.2.2134.121-taxa	s.718742.2-taxa	s.718742.50-taxa	MRSABB_00149.28-taxa	MRSABB_00149.143-taxa	s.719837.116-taxa	NRH.2.10-taxa	NMG.1.13-taxa	s.721944.91-taxa	MRSABB_00130.140-taxa	NRO.1.129-taxa	s.723702.92-taxa	NMG.1.61-taxa	s.245.Healthy.lessthan5.Oral.Swab.1.1897.104-taxa	s.723702.55-taxa	NRH.1.94-taxa	NMG.2.132-taxa	NRH.1.127-taxa	Consensus Lineage
2	2.0	322.0	444.0	16.0	452.0	99.0	6.0	223.0	123.0	279.0	0.0	1120.0	1569.0	1.0	573.0	4.0	179.0	14.0	707.0	921.0	515.0	191.0	202.0	1.0	387.0	7.0	83.0	400.0	2.0	18.0	0.0	263.0	199.0	5.0	14.0	472.0	121.0	13.0	1444.0	1712.0	1.0	0.0	38.0	0.0	53.0	31.0	550.0	0.0	163.0	81.0	1917.0	3.0	2009.0	259.0	3.0	257.0	279.0	92.0	0.0	142.0	96.0	112.0	783.0	3.0	9.0	381.0	1.0	1918.0	109.0	0.0	1.0	402.0	298.0	3.0	716.0	564.0	0.0	882.0	459.0	247.0	69.0	1.0	0.0	426.0	2.0	2.0	2.0	504.0	2.0	18.0	384.0	204.0	1.0	28.0	565.0	121.0	205.0	430.0	0.0	155.0	441.0	470.0	733.0	1011.0	454.0	0.0	1.0	901.0	1750.0	1.0	1041.0	0.0	2047.0	303.0	4.0	3.0	9.0	k__Bacteria; p__; c__; o__; f__; g__; s__
1224	1.0	240.0	74.0	4.0	103.0	92.0	0.0	195.0	38.0	54.0	0.0	249.0	1214.0	1.0	133.0	0.0	43.0	11.0	321.0	0.0	65.0	0.0	2397.0	0.0	52.0	11.0	15.0	101.0	0.0	26.0	0.0	193.0	71.0	2.0	15.0	119.0	53.0	5.0	365.0	410.0	1.0	0.0	5.0	0.0	21.0	7.0	229.0	0.0	50.0	0.0	270.0	0.0	521.0	224.0	3.0	84.0	109.0	78.0	0.0	155.0	77.0	57.0	183.0	0.0	21.0	163.0	0.0	882.0	30.0	0.0	0.0	73.0	59.0	3.0	7332.0	216.0	0.0	354.0	81.0	61.0	0.0	0.0	0.0	138.0	0.0	0.0	0.0	186.0	0.0	5.0	97.0	190.0	2.0	45.0	134.0	1995.0	53.0	315.0	0.0	2191.0	133.0	111.0	0.0	1.0	74.0	0.0	2.0	255.0	0.0	0.0	295.0	2.0	1488.0	96.0	1.0	1.0	0.0	k__Bacteria; p__Proteobacteria; c__; o__; f__; g__; s__
1236	1.0	105.0	25.0	0.0	25.0	35.0	0.0	123.0	17.0	30.0	0.0	72.0	825.0	0.0	26.0	0.0	14.0	4.0	253.0	0.0	24.0	0.0	412.0	3.0	15.0	108.0	39.0	18.0	0.0	0.0	0.0	135.0	28.0	0.0	217.0	23.0	49.0	2.0	108.0	170.0	0.0	0.0	2.0	0.0	25.0	9.0	27.0	0.0	58.0	0.0	85.0	0.0	117.0	87.0	1.0	108.0	193.0	607.0	0.0	1397.0	33.0	49.0	57.0	0.0	2.0	69.0	0.0	120.0	18.0	0.0	0.0	37.0	31.0	4.0	1105.0	48.0	0.0	331.0	27.0	22.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0	24.0	0.0	1.0	44.0	80.0	3.0	3.0	52.0	263.0	21.0	165.0	0.0	336.0	36.0	31.0	0.0	0.0	22.0	0.0	1.0	107.0	0.0	0.0	123.0	1.0	932.0	30.0	0.0	1.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__; f__; g__; s__
468	4.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	3.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__; s__
480	557.0	27.0	1.0	0.0	1.0	1.0	0.0	22.0	0.0	1.0	0.0	1.0	65.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	1.0	0.0	15.0	584.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	11.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	3816.0	0.0	0.0	4.0	0.0	5.0	0.0	0.0	27.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1917.0	38.0	2.0	192.0	12.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	1.0	0.0	5.0	3.0	41.0	0.0	12.0	0.0	1.0	0.0	0.0	0.0	0.0	347.0	0.0	0.0	0.0	8.0	332.0	235.0	2.0	0.0	500.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Moraxella; s__catarrhalis
497	1.0	5.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	7.0	2.0	3.0	7.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	4.0	0.0	4.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	3.0	17.0	0.0	0.0	2.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Psychrobacter; s__
349106	3.0	7.0	0.0	0.0	4.0	1.0	0.0	3.0	0.0	0.0	0.0	11.0	16.0	1.0	1.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	4.0	0.0	0.0	3.0	0.0	0.0	1.0	38.0	0.0	0.0	0.0	0.0	1.0	8.0	0.0	0.0	2.0	0.0	3.0	0.0	7.0	7.0	0.0	3.0	5.0	0.0	0.0	0.0	2.0	2.0	9.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	9.0	16.0	0.0	1.0	7.0	1.0	0.0	0.0	0.0	1.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	5.0	0.0	0.0	11.0	0.0	2.0	3.0	5.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	3.0	46.0	1.0	0.0	1.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Psychrobacter; s__sp. PRwf-1
571800	1.0	1.0	1.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	8.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	5.0	1.0	0.0	0.0	0.0	1.0	0.0	8.0	4.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	1.0	25.0	3.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	4.0	0.0	1.0	1.0	0.0	1.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	4.0	0.0	0.0	8.0	1.0	16.0	2.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Psychrobacter; s__sp. G
62977	1.0	2.0	3.0	0.0	1.0	1.0	0.0	2.0	0.0	0.0	0.0	5.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	7.0	0.0	5.0	0.0	0.0	2.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	1.0	0.0	6.0	6.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	1.0	0.0	13.0	0.0	6.0	2.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	1.0	0.0	1.0	40.0	5.0	0.0	6.0	5.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	3.0	3.0	1.0	1.0	12.0	2.0	9.0	0.0	12.0	2.0	6.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	13.0	1.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__sp. ADP1
470	1.0	5.0	2.0	0.0	1.0	2.0	1.0	2.0	0.0	2.0	0.0	3.0	33.0	0.0	1.0	0.0	1.0	0.0	6.0	0.0	0.0	0.0	13.0	1.0	2.0	0.0	1.0	4.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	2.0	0.0	0.0	11.0	5.0	9.0	0.0	0.0	0.0	1.0	1.0	4.0	0.0	1.0	0.0	5.0	0.0	4.0	3.0	1.0	6.0	2.0	0.0	0.0	1.0	2.0	5.0	3.0	0.0	0.0	0.0	0.0	13.0	1.0	0.0	0.0	3.0	0.0	3.0	34.0	8.0	0.0	14.0	4.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	5.0	0.0	22.0	0.0	2.0	10.0	1.0	13.0	0.0	10.0	1.0	1.0	0.0	0.0	5.0	0.0	0.0	4.0	1.0	0.0	21.0	5.0	32.0	7.0	0.0	1.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__baumannii
